x,y,genre
-20.737062,14.892565,hip hop
-29.452906,11.454183,pop
-27.830788,-2.0322297,rock
-19.374098,9.405749,pop
40.01051,11.972787,hip hop
43.421955,9.991744,Dance/Electronic
-17.686028,13.77149,latin
47.151703,1.036887,rock
16.334072,3.2029479,R&B
59.819923,7.7481236,pop
41.33255,9.834706,pop
42.319027,4.4285636,Dance/Electronic
42.694073,-2.797258,Dance/Electronic
-32.931076,8.457524,pop
33.771034,16.779516,pop
-57.491642,-0.7523602,Dance/Electronic
-25.105326,-3.3003888,pop
-37.01536,9.909133,rock
-16.845219,11.676436,Dance/Electronic
-30.709457,-6.564645,R&B
44.730736,6.6026616,hip hop
58.06472,9.893953,Dance/Electronic
-23.594547,10.740069,rock
-30.629345,-6.7897635,pop
-21.931614,10.911484,latin
52.842457,-4.4725614,Dance/Electronic
39.62247,11.18325,pop
-21.921822,10.303352,country
-38.784233,2.6577322,pop
35.977486,12.150053,hip hop
46.66832,12.209399,pop
-35.962097,7.449913,hip hop
36.330963,13.101554,Dance/Electronic
-24.92205,10.246573,pop
38.5473,-4.5181556,pop
48.19705,-2.7928936,Dance/Electronic
-19.451347,16.826628,rock
-42.15899,0.057142425,hip hop
42.0744,10.684061,pop
43.06283,-1.5347223,Dance/Electronic
-58.679653,2.6151981,pop
-61.01377,8.070348,pop
-15.757763,11.019907,rock
-30.04298,10.589713,pop
-29.749706,-1.2544303,R&B
59.432777,6.519216,hip hop
47.156036,-4.8105025,Dance/Electronic
-17.537989,13.068146,latin
-33.796078,9.518674,hip hop
-37.225708,2.78401,pop
-31.61979,10.725951,latin
-12.82644,7.4616838,pop
41.952297,6.131076,hip hop
47.308266,-6.917328,Dance/Electronic
-34.305202,-2.9764168,rock
-19.431993,8.936249,pop
46.652885,12.211312,pop
-23.849392,14.880103,Dance/Electronic
-39.10529,-2.5146105,pop
-25.023308,7.542153,Dance/Electronic
-30.270727,13.302251,pop
43.18453,-0.6329605,Dance/Electronic
41.70101,-3.75649,Dance/Electronic
41.574333,10.645926,Dance/Electronic
37.321907,3.7692056,R&B
-35.216267,7.265351,pop
-64.06557,8.386745,Dance/Electronic
-28.59505,-1.2149075,rock
41.01737,4.9605584,pop
41.98334,-2.5380473,country
-37.58481,-0.36371788,rock
-38.784462,2.6579206,pop
41.618656,6.2673535,Dance/Electronic
-37.00149,7.6630125,hip hop
-38.140972,5.042803,R&B
43.989826,7.6499114,Dance/Electronic
-41.669453,-1.5071636,hip hop
-23.054152,12.20724,hip hop
-17.078815,10.300741,Dance/Electronic
48.07824,-7.183094,Dance/Electronic
44.124557,4.4293447,pop
-16.622301,11.384935,Dance/Electronic
34.750675,16.9245,R&B
-18.470226,9.288378,Dance/Electronic
43.245705,1.2350837,hip hop
-14.204198,8.402987,rock
-25.625443,10.754515,Dance/Electronic
-33.113304,-2.6741521,Dance/Electronic
39.80902,7.241347,Dance/Electronic
40.329502,7.213652,pop
46.49376,-10.597735,Dance/Electronic
-37.972393,9.735447,pop
-33.4372,4.201426,Dance/Electronic
-37.77297,3.1905794,pop
48.393356,-3.7076738,Dance/Electronic
-16.704151,0.5070962,R&B
39.85555,17.435837,hip hop
44.412918,-11.021809,Dance/Electronic
35.541523,13.505673,pop
41.594673,9.860089,Dance/Electronic
-53.730824,0.5974497,rock
62.49832,4.4734483,R&B
-28.366371,9.795042,Dance/Electronic
49.558754,-0.61839706,pop
-42.89116,-0.26992697,hip hop
-38.149223,7.5033484,Dance/Electronic
-64.44654,8.568593,Dance/Electronic
-59.499447,10.784312,country
-32.673687,4.4134803,pop
59.19836,9.952616,pop
-41.174553,-1.7511349,hip hop
33.925774,15.149944,rock
-31.92762,8.935172,pop
46.81539,-2.7873812,hip hop
43.503345,-1.2179872,rock
40.49396,10.87119,hip hop
59.070683,11.485503,Dance/Electronic
-30.04296,10.589658,pop
-17.933765,8.101393,hip hop
43.289505,0.75740993,R&B
39.481762,-4.4265375,R&B
62.144615,8.05128,Dance/Electronic
-37.056393,2.3716228,pop
-19.163927,7.476223,rock
-25.084494,9.076226,Dance/Electronic
35.01874,8.707591,hip hop
35.84096,11.098987,Dance/Electronic
-17.186619,5.748455,country
45.04776,-12.258862,pop
37.08875,4.6684756,rock
-26.514704,0.67094034,pop
-40.668262,-4.2577105,R&B
-21.780506,8.248932,R&B
35.85837,3.110544,R&B
-63.53314,7.4299107,pop
-20.148531,5.775266,hip hop
57.15628,12.155791,Dance/Electronic
34.008343,-4.274738,pop
-41.036804,-4.972389,Dance/Electronic
-25.11534,6.172707,hip hop
-19.717402,-1.6682609,R&B
-38.533203,0.7295783,Dance/Electronic
34.511578,-6.3858023,Dance/Electronic
62.672173,5.6496234,R&B
-62.168854,7.753692,Dance/Electronic
-15.518824,-16.253887,R&B
-29.078815,4.8886795,hip hop
34.703804,-8.316676,pop
-40.723286,4.6202826,hip hop
-25.225115,-0.94870347,pop
34.768867,-0.15751328,pop
36.771503,-2.202119,hip hop
-25.172724,9.642464,pop
-57.555607,1.655948,pop
59.456444,6.5636935,hip hop
-57.769756,-0.07041151,pop
35.051193,4.832986,R&B
-26.837416,-3.7268517,pop
-31.955872,9.114513,rock
-32.819607,-3.0797017,pop
31.520784,15.051401,pop
46.066692,-9.673926,Dance/Electronic
33.6745,3.330601,pop
-24.096912,1.4101305,Dance/Electronic
-29.687422,-3.6158187,pop
-56.65913,-2.8798208,hip hop
48.317055,-3.948913,Dance/Electronic
45.234283,-12.665343,Dance/Electronic
-35.56565,7.937378,rock
-22.230717,-2.8793867,Dance/Electronic
-14.381669,6.885524,pop
-58.751698,1.9366925,pop
41.468758,-2.762672,Dance/Electronic
-18.912855,5.7504015,rock
-61.003586,6.924327,pop
-29.078949,4.8887124,hip hop
-55.697754,-0.44762272,Dance/Electronic
15.882916,2.3098226,pop
-17.85425,6.794741,hip hop
35.33769,4.1383977,hip hop
45.931812,-8.435551,pop
41.639244,15.832651,hip hop
16.8262,4.325031,pop
36.361763,4.174591,Dance/Electronic
-60.012245,7.182872,Dance/Electronic
-36.182274,-5.1400557,hip hop
41.452347,11.318542,hip hop
40.221516,9.433975,hip hop
40.909077,3.164876,Dance/Electronic
-24.511951,-2.7911854,rock
35.389473,14.221549,pop
46.13407,-11.303561,pop
-26.175585,9.859697,R&B
-62.626812,5.73432,Dance/Electronic
-40.905964,-4.2614326,Dance/Electronic
47.689644,-9.147684,rock
-58.11908,0.8868321,Dance/Electronic
63.497658,7.021548,pop
-27.548656,9.326652,Dance/Electronic
-38.533573,0.72954065,Dance/Electronic
-32.011196,-5.5146837,Dance/Electronic
35.16477,12.202445,pop
-57.68899,-1.7670077,hip hop
34.84121,13.189011,hip hop
-23.244783,-2.3986437,Dance/Electronic
34.993664,-2.1203547,pop
37.626522,-1.8104609,hip hop
