artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Travie McCoy,Billionaire (feat. Bruno Mars),211160,True,2010,72,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,hip hop
David Guetta,Who's That Chick? (feat. Rihanna),201040,False,2010,71,0.675,0.602,11,-4.733,0,0.116,0.00377,0.0,0.0458,0.933,127.938,Dance/Electronic
Katy Perry,Teenage Dream,227741,False,2010,69,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011,pop
B.o.B,Nothin' on You (feat. Bruno Mars),268320,False,2010,74,0.688,0.853,10,-5.814,1,0.0493,0.386,0.0,0.0862,0.743,103.993,hip hop
Jason Derulo,Ridin' Solo,215746,False,2010,66,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,hip hop
Drake,Find Your Love,208946,False,2010,56,0.625,0.613,6,-6.005,0,0.173,0.0209,0.0,0.0286,0.738,96.033,R&B
Ellie Goulding,Starry Eyed,176613,False,2010,54,0.504,0.814,5,-5.346,0,0.0389,0.135,1.42e-05,0.324,0.596,149.967,rock
Kesha,Your Love Is My Drug,187133,False,2010,69,0.826,0.612,1,-3.891,1,0.0982,0.00681,0.0,0.0889,0.756,120.057,Dance/Electronic
The Wanted,All Time Low,205200,False,2010,18,0.689,0.615,8,-5.022,0,0.0563,0.352,0.0,0.0789,0.783,134.036,Dance/Electronic
Lil Wayne,Right Above It,271946,True,2010,68,0.376,0.841,3,-4.348,0,0.356,0.0435,0.0,0.578,0.463,76.052,hip hop
Usher,Hey Daddy (Daddy's Home),224093,False,2010,60,0.59,0.698,11,-4.262,1,0.0286,0.000176,0.0,0.107,0.352,95.975,R&B
The Saturdays,Higher,207613,False,2010,61,0.639,0.862,10,-3.292,1,0.0341,0.049,6.81e-06,0.264,0.596,117.011,Dance/Electronic
Plan B,She Said,208853,False,2010,62,0.72,0.538,3,-5.85,0,0.141,0.301,3.03e-06,0.144,0.815,147.007,Dance/Electronic
Example,Kickstarts,181826,False,2010,63,0.61,0.836,5,-4.455,1,0.0573,0.00374,0.0,0.358,0.657,126.056,Dance/Electronic
Drake,Over,233560,True,2010,57,0.325,0.848,7,-5.611,1,0.279,0.0109,0.0,0.124,0.433,100.093,R&B
Jason Derulo,Whatcha Say,221253,False,2010,70,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,hip hop
Take That,The Flood,289359,False,2010,57,0.514,0.83,11,-6.077,0,0.044,0.0378,1.43e-06,0.122,0.138,100.631,pop
Shontelle,Impossible,226533,False,2010,35,0.599,0.624,8,-3.631,1,0.0343,0.385,0.0,0.125,0.539,90.034,R&B
Rihanna,What's My Name?,263173,False,2010,66,0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,R&B
Katy Perry,Firework,227893,False,2010,72,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,pop
3OH!3,Starstrukk,203093,False,2010,32,0.605,0.795,11,-6.086,0,0.0712,0.00153,0.0,0.207,0.263,139.896,rock
Black Eyed Peas,The Time (Dirty Bit),307640,False,2010,69,0.816,0.813,6,-7.798,0,0.0664,0.0662,2.77e-06,0.602,0.436,127.979,hip hop
Eminem,Not Afraid,248133,True,2010,79,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635,hip hop
P!nk,F**kin' Perfect,213413,True,2010,60,0.563,0.671,7,-4.788,1,0.0373,0.0422,0.0,0.36,0.45,91.964,pop
David Guetta,Sexy Bitch (feat. Akon),195853,True,2010,75,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011,Dance/Electronic
Nicki Minaj,Super Bass,200013,True,2010,0,0.72,0.861,11,-4.339,1,0.209,0.269,5.11e-06,0.601,0.669,126.991,hip hop
Kelly Rowland,Work,207920,False,2010,34,0.888,0.823,10,-6.351,0,0.0538,0.00499,0.0,0.291,0.623,102.757,R&B
Black Eyed Peas,Just Can’t Get Enough,219426,False,2010,76,0.659,0.628,0,-8.685,0,0.179,0.186,0.0,0.105,0.262,94.05,hip hop
Ne-Yo,Beautiful Monster,251573,False,2010,57,0.708,0.771,5,-6.99,0,0.131,0.209,5.32e-06,0.277,0.494,128.013,R&B
P!nk,Raise Your Glass,202960,True,2010,76,0.7,0.709,7,-5.006,1,0.0838,0.0048,0.0,0.029,0.624,122.019,pop
Bruno Mars,Marry You,230192,False,2010,75,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,pop
The Band Perry,If I Die Young,222773,False,2010,64,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,country
David Guetta,When Love Takes Over (feat. Kelly Rowland),191000,False,2010,69,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,Dance/Electronic
Edward Maya,Stereo Love - Radio Edit,184573,False,2010,66,0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,pop
Jeremih,Down On Me,228453,False,2010,72,0.7,0.598,2,-7.783,1,0.114,0.0369,0.0,0.111,0.594,160.041,R&B
Rihanna,What's My Name?,263173,False,2010,66,0.692,0.786,2,-2.959,1,0.069,0.23,0.0,0.0797,0.583,100.025,R&B
Diddy - Dirty Money,Coming Home,238693,False,2010,69,0.392,0.839,7,-1.921,1,0.193,0.158,0.0,0.3,0.232,168.001,R&B
Miguel,Sure Thing,195373,False,2010,78,0.684,0.607,11,-8.127,0,0.1,0.0267,0.000307,0.191,0.498,81.001,R&B
Kanye West,All Of The Lights,299613,True,2010,76,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,hip hop
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),263773,True,2010,76,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,hip hop
Ellie Goulding,Lights - Single Version,210853,False,2010,63,0.682,0.795,8,-6.17,0,0.0367,0.0297,0.0391,0.131,0.78,120.008,rock
Kesha,We R Who We R,204760,False,2010,71,0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,Dance/Electronic
Far East Movement,Rocketeer,211253,False,2010,61,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005,hip hop
Enrique Iglesias,Tonight (I'm Fuckin' You),232213,True,2010,63,0.648,0.89,0,-3.982,0,0.0523,0.0294,3.58e-06,0.116,0.321,125.953,latin
P!nk,Sober,251440,False,2010,46,0.614,0.792,6,-4.907,1,0.0299,0.0653,0.0,0.195,0.407,91.066,pop
Bruno Mars,Grenade,222091,False,2010,78,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,pop
Keri Hilson,Pretty Girl Rock,243920,False,2010,67,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014,R&B
Taio Cruz,Break Your Heart,201546,False,2010,74,0.607,0.934,3,-4.217,1,0.0314,0.0327,0.0,0.0909,0.568,122.01,hip hop
Edward Maya,Stereo Love - Radio Edit,184573,False,2010,66,0.799,0.783,1,-3.896,0,0.0322,0.0346,0.0186,0.0757,0.586,127.041,pop
DJ Fresh,Gold Dust - Radio Edit,192446,False,2010,63,0.451,0.948,0,-0.74,1,0.147,0.255,0.0,0.392,0.295,176.985,Dance/Electronic
Duck Sauce,Barbra Streisand - Radio Edit,196533,False,2010,46,0.769,0.922,1,-1.966,1,0.108,0.000939,0.197,0.233,0.506,127.965,Dance/Electronic
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),188000,False,2010,62,0.615,0.913,10,-5.077,0,0.0816,0.178,0.0,0.0773,0.45,129.944,Dance/Electronic
Far East Movement,Like A G6,216893,False,2010,73,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913,hip hop
INNA,Hot - Play & Win Radio Version,217036,False,2010,42,0.817,0.939,7,-6.079,0,0.28,0.0798,0.441,0.431,0.599,128.0,pop
Jason Derulo,Whatcha Say,221253,False,2010,70,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,hip hop
Taio Cruz,Higher,187626,False,2010,61,0.672,0.907,8,-5.069,0,0.0721,0.0048,3.4e-05,0.156,0.746,128.027,hip hop
Rihanna,Only Girl (In The World),235493,False,2010,73,0.789,0.716,11,-4.241,0,0.0432,0.129,1.07e-05,0.069,0.611,125.906,R&B
Taio Cruz,Dynamite,202613,False,2010,80,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975,hip hop
David Guetta,Memories (feat. Kid Cudi),210853,False,2010,76,0.546,0.916,8,-3.932,1,0.255,0.00144,4.34e-06,0.251,0.375,129.983,Dance/Electronic
Kesha,Take It Off,215200,False,2010,68,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,Dance/Electronic
Kesha,TiK ToK,199693,False,2010,80,0.755,0.837,2,-2.718,0,0.142,0.0991,0.0,0.289,0.714,120.028,Dance/Electronic
Usher,More - RedOne Jimmy Joker Remix,219986,False,2010,67,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083,R&B
Stromae,Alors on danse - Radio Edit,206066,False,2010,77,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,pop
Eminem,Love The Way You Lie,263373,True,2010,81,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989,hip hop
Bruno Mars,Just the Way You Are,220734,False,2010,77,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,pop
Drake,Best I Ever Had,258760,True,2010,54,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161,R&B
Drake,Headlines,235986,True,2011,74,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894,R&B
The Wanted,Glad You Came,197935,False,2011,77,0.722,0.851,7,-3.873,0,0.0639,0.0319,0.0,0.108,0.452,126.885,Dance/Electronic
Demi Lovato,Give Your Heart a Break,205346,False,2011,71,0.651,0.695,6,-3.218,1,0.0487,0.23,0.0,0.144,0.569,123.008,pop
Kelly Rowland,Motivation,230560,False,2011,65,0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889,R&B
Rihanna,We Found Love,215226,False,2011,75,0.735,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.985,R&B
Foster The People,Pumped Up Kicks,239600,False,2011,82,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,rock
Nicole Scherzinger,Don't Hold Your Breath,197440,False,2011,62,0.66,0.797,5,-6.096,0,0.0262,0.00646,0.000108,0.187,0.674,110.955,Dance/Electronic
Mann,Buzzin Remix,224333,True,2011,48,0.687,0.939,10,-4.372,0,0.146,0.0887,0.0,0.283,0.539,104.029,hip hop
Mac Miller,Donald Trump,165908,True,2011,61,0.636,0.901,1,-7.094,0,0.118,0.119,0.0,0.391,0.836,162.994,hip hop
Chris Brown,Yeah 3x,241666,True,2011,69,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0,R&B
Swedish House Mafia,Save The World,213337,False,2011,65,0.507,0.665,0,-7.598,1,0.0474,0.0144,0.0,0.0759,0.4,126.879,Dance/Electronic
Lady Gaga,Born This Way,260253,False,2011,72,0.587,0.828,11,-5.108,1,0.161,0.00327,0.0,0.331,0.494,123.907,pop
Selena Gomez & The Scene,Who Says,195613,False,2011,76,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,Dance/Electronic
Chip,Champion (feat. Chris Brown),237293,True,2011,48,0.415,0.934,6,-2.914,0,0.24,0.078,0.0,0.145,0.52,190.151,Dance/Electronic
Chase & Status,Blind Faith,233666,False,2011,60,0.45,0.846,9,-4.712,0,0.0472,0.00523,0.0,0.228,0.402,140.042,Dance/Electronic
Drake,Take Care,277386,True,2011,75,0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,R&B
Avril Lavigne,What the Hell,220706,False,2011,74,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976,pop
Professor Green,Read All About It,235735,True,2011,39,0.656,0.752,11,-5.522,0,0.0434,0.336,0.0,0.223,0.445,100.963,Dance/Electronic
Rizzle Kicks,Down With The Trumpets,186851,False,2011,59,0.753,0.88,4,-4.689,0,0.0806,0.087,0.0,0.24,0.794,115.057,hip hop
